OBJECTID,ID,Xindex,Yindex,Qerror,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,topic50,topic51,topic52,topic53,topic54,topic55,topic56,topic57,topic58,topic59,topic60,topic61,topic62,topic63,topic64,topic65,topic66,topic67,topic68,topic69,topic70,identifier,identifi_1,title,year,author,degree_gra,degree_sup,language,x,y
177,412,18,21,0.181796,8.4E-05,0.000156,9.6E-05,0.070137,0.004734,7E-05,0.000114,0.001183,8.3E-05,0.000187,7.1E-05,7.1E-05,5.3E-05,0.000201,0.000161,0.000119,6.4E-05,0.000237,4.4E-05,0.000327,9.7E-05,9.7E-05,8.9E-05,4.4E-05,5.7E-05,0.000922,0.014216,6.8E-05,0.000113,1.6E-05,0.000283,0.015421,0.00012,5.2E-05,4.3E-05,6.6E-05,0.046781,0.335016,5.7E-05,0.00477,0.452898,4.5E-05,0.000125,8.4E-05,5.1E-05,8E-05,7.6E-05,9.5E-05,0.037697,0.000175,5.2E-05,3.2E-05,4.1E-05,5.5E-05,0.000473,6.4E-05,5.3E-05,9E-05,7.4E-05,0.00014,0.000137,0.00029,0.009433,0.000115,9.6E-05,0.000112,4.9E-05,8.4E-05,8.2E-05,0.000572,0.000109,f3dn4352,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3dn4352,Insights into Protein-Protein Interactions within the Bacterial Flagellar Motor C-Ring,2014,"Levenson, Robert Herman","University of California, Santa Barbara. Chemistry",Frederick W. Dahlquist,English,0.000165277435871992,0.000162921154884782
178,413,35,0,0.246482,0.00021,0.000389,0.000239,0.000274,0.000163,0.000175,0.000282,0.095742,0.000206,0.000464,0.000177,0.000177,0.000132,0.000499,0.000401,0.000296,0.000158,0.00059,0.00011,0.000813,0.000241,0.000242,0.000221,0.00011,0.000142,0.048693,0.371732,0.000169,0.000281,4E-05,0.012304,0.200722,0.000299,0.00013,0.000106,0.000165,0.011842,0.043642,0.000142,0.011852,0.00015,0.000112,0.000311,0.000208,0.000127,0.000198,0.000188,0.000237,0.000868,0.162839,0.00013,7.9E-05,0.000101,0.000136,0.001175,0.000158,0.000133,0.000223,0.000183,0.000347,0.00034,0.000722,0.000238,0.023486,0.000238,0.000277,0.000122,0.000208,0.000205,0.001422,0.000271,f3cn721p,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3cn721p,Improved orientation estimation for smart phone indoor localization,2014,"Morgan, Damein Lamar","University of California, Santa Barbara. Electrical and Computer Engineering",Tim Cheng,English,0.000312495141263425,-7.10567403330296E-07
179,416,19,41,0.184981,0.004986,0.088311,0.000101,0.000116,6.9E-05,7.4E-05,0.000119,0.108976,8.7E-05,0.000196,7.5E-05,7.5E-05,5.6E-05,0.000211,0.000169,0.000125,6.7E-05,0.000249,4.6E-05,0.000343,0.000102,0.000102,9.3E-05,4.6E-05,6E-05,0.005864,0.000221,7.1E-05,0.000119,1.7E-05,0.000297,0.011279,0.000126,5.5E-05,4.5E-05,7E-05,0.000102,0.072291,6E-05,0.000106,6.3E-05,4.7E-05,0.000131,8.8E-05,5.4E-05,8.4E-05,7.9E-05,0.0001,0.000366,0.000184,5.5E-05,3.3E-05,4.3E-05,5.7E-05,0.000496,6.7E-05,5.6E-05,9.4E-05,7.7E-05,0.000146,0.000143,0.000305,0.000101,0.044194,0.000101,0.000117,5.2E-05,8.8E-05,8.6E-05,0.0006,0.656318,f3zw1j2b,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3zw1j2b,Estimating spatio-temporal trends of urban irrigation extent and rate using SPOT 5 imagery in a Mediterranean climate city,2014,"Chen, Ying-Jung","University of California, Santa Barbara. Geography",Joseph P. McFadden,English,0.000175280176552096,0.000320579978795556
180,417,31,11,0.203045,0.012365,0.000205,0.000126,0.000145,8.6E-05,9.2E-05,0.000149,0.00768,0.000109,0.000245,9.4E-05,9.3E-05,7E-05,0.000264,0.000212,0.024665,8.4E-05,0.000311,5.8E-05,0.018811,0.000128,0.000128,0.000117,5.8E-05,7.5E-05,0.491391,0.202476,8.9E-05,0.000148,2.1E-05,0.000372,0.001858,0.000158,6.9E-05,5.6E-05,8.7E-05,0.000128,0.188488,7.5E-05,0.000133,7.9E-05,5.9E-05,0.000164,0.00011,6.7E-05,0.000105,9.9E-05,0.000125,0.006586,0.00023,6.9E-05,4.2E-05,5.3E-05,0.006199,0.00062,8.4E-05,7E-05,0.000118,9.7E-05,0.000183,0.006307,0.000381,0.000126,0.000151,0.000126,0.000146,6.5E-05,0.00011,0.000108,0.02526,0.000143,f3736p0j,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3736p0j,Elasticity Primitives for Database as a Service,2014,"Elmore, Aaron J.","University of California, Santa Barbara. Computer Science","Divyakant Agrawal, Amr El Abbadi",English,0.000284966269378638,8.57091595679187E-05
181,418,33,12,0.17066,0.00013,0.000241,0.000148,0.00017,0.000101,0.000108,0.000175,0.001821,0.000127,0.000287,0.00011,0.000109,8.2E-05,0.000309,0.000248,0.000183,9.8E-05,0.000365,6.8E-05,0.000503,0.000149,0.00015,0.000137,6.8E-05,8.8E-05,0.389336,0.036242,0.000105,0.000174,2.5E-05,0.000436,0.131484,0.000185,8.1E-05,0.093453,0.000102,0.0217,0.13478,8.8E-05,0.000156,9.3E-05,6.9E-05,0.000193,0.000129,7.9E-05,0.000123,0.000117,0.000147,0.000537,0.00027,8E-05,4.9E-05,6.2E-05,8.4E-05,0.000727,9.8E-05,8.2E-05,0.000138,0.000114,0.000215,0.007394,0.129753,0.000148,0.000177,0.000148,0.000172,0.014443,0.000129,0.000127,0.000881,0.028902,f3j964g2,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3j964g2,Scalable and High Quality Algorithm Design For High Level Synthesis,2014,"Tang, Wei","University of California, Santa Barbara. Electrical and Computer Engineering",Forrest Brewer,English,0.000295389421600305,9.18545344385236E-05
182,422,21,19,0.118995,9.4E-05,0.000174,0.000107,0.379926,7.3E-05,7.8E-05,0.000127,0.001319,9.2E-05,0.000208,8E-05,7.9E-05,5.9E-05,0.000224,0.00018,0.000133,7.1E-05,0.000264,4.9E-05,0.000364,0.010514,0.000108,0.088546,4.9E-05,6.4E-05,0.001028,0.000235,7.6E-05,0.000126,1.8E-05,0.000315,0.152458,0.000134,5.8E-05,4.8E-05,7.4E-05,0.000108,0.227685,0.046889,0.000113,0.052095,5E-05,0.031356,9.3E-05,5.7E-05,8.9E-05,8.4E-05,0.000106,0.000389,0.000195,5.8E-05,3.6E-05,4.5E-05,6.1E-05,0.000527,7.1E-05,5.9E-05,0.0001,8.2E-05,0.000156,0.000152,0.000324,0.000107,0.000128,0.000107,0.000124,5.5E-05,9.3E-05,9.2E-05,0.000638,0.000121,f3qc01mk,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3qc01mk,Kallikrein-7 as a template for the rational design of enhanced Abeta selectivity,2014,"Shropshire, Tyler Daniel","University of California, Santa Barbara. Chemistry",Patrick S. Daugherty,English,0.000192119994874305,0.000147499776379555
183,425,10,12,0.266703,7.5E-05,0.02916,8.5E-05,9.8E-05,5.8E-05,6.3E-05,0.000101,0.017634,7.3E-05,0.000166,6.3E-05,6.3E-05,4.7E-05,0.000179,0.016727,0.000106,5.7E-05,0.000211,3.9E-05,0.041749,8.6E-05,8.6E-05,7.9E-05,3.9E-05,5.1E-05,0.000819,0.000187,6E-05,0.0001,1.4E-05,0.000251,0.001257,0.000107,4.7E-05,3.8E-05,5.9E-05,8.6E-05,0.110952,5.1E-05,9E-05,5.4E-05,4E-05,0.000111,7.4E-05,4.6E-05,7.1E-05,6.7E-05,8.5E-05,0.00031,0.000156,4.6E-05,2.8E-05,3.6E-05,4.9E-05,0.638881,5.7E-05,4.7E-05,8E-05,6.6E-05,0.000124,0.000121,0.020987,8.5E-05,0.020831,0.074711,9.9E-05,4.4E-05,7.4E-05,7.3E-05,0.012946,0.008389,f3bv7dqj,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3bv7dqj,The Changing Status of Converted Jews in Thirteenth- and Fourteenth-Century Northern France,2014,"Elliott, Jessica Marin","University of California, Santa Barbara. History",Sharon Farmer,English,8.7194074733815E-05,9.3306211920957E-05
184,426,18,40,0.103687,0.134952,0.000167,0.015087,0.000118,7E-05,7.5E-05,0.000121,0.121143,8.9E-05,0.0002,7.6E-05,7.6E-05,5.7E-05,0.000215,0.000172,0.000128,6.8E-05,0.000254,4.7E-05,0.00035,0.000104,0.000104,9.5E-05,4.7E-05,6.1E-05,0.020966,0.055169,7.3E-05,0.000121,1.7E-05,0.000303,0.066448,0.010119,5.6E-05,4.6E-05,7.1E-05,0.000104,0.083725,6.1E-05,0.070037,6.5E-05,4.8E-05,0.000134,8.9E-05,5.5E-05,8.5E-05,8.1E-05,0.000102,0.000374,0.000187,5.6E-05,3.4E-05,4.3E-05,5.9E-05,0.000506,6.8E-05,5.7E-05,9.6E-05,7.9E-05,0.000149,0.040105,0.000311,0.000103,0.000123,0.000103,0.000119,5.3E-05,8.9E-05,8.8E-05,0.000612,0.374733,f39s1p5d,https://www.alexandria.ucsb.edu/lib/ark:/48907/f39s1p5d,"Discriminating Among Plant Species and Functional Types Using Spectroscopy Data: Evaluating Capabilities Within and Across Ecosystems, Across Spatial Scales and Through Seasons",2014,"Roth, Keely Lynn","University of California, Santa Barbara. Geography",Dar A. Roberts,English,0.000160219022482806,0.00031247447999414
185,428,41,31,0.161804,0.000121,0.000225,0.000138,0.000158,9.4E-05,0.000101,0.000163,0.001699,0.000119,0.154418,0.000103,0.160954,7.6E-05,0.000289,0.000231,0.000171,9.1E-05,0.000341,6.4E-05,0.000469,0.000139,0.00014,0.000128,6.4E-05,8.2E-05,0.028133,0.007005,9.8E-05,0.000162,2.3E-05,0.000406,0.142778,0.000173,7.5E-05,6.1E-05,9.5E-05,0.000139,0.01181,8.2E-05,0.000145,8.7E-05,6.4E-05,0.00018,0.482677,7.4E-05,0.000114,0.000109,0.000137,0.000501,0.000252,7.5E-05,4.6E-05,5.8E-05,7.9E-05,0.000679,9.2E-05,7.7E-05,0.000129,0.000106,0.0002,0.000196,0.000417,0.000138,0.000165,0.000138,0.00016,7.1E-05,0.00012,0.000118,0.000822,0.000156,f3pz56x4,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3pz56x4,Aqueous synthesis of zinc oxide films for GaN optoelectronic devices,2014,"Reading, Arthur H.","University of California, Santa Barbara. Materials",Steven P. DenBaars,English,0.000373472782738482,0.000242028595402955
186,431,41,39,0.0777812,9.2E-05,0.000171,0.000105,0.00012,7.1E-05,7.7E-05,0.045994,0.031872,9E-05,0.443617,7.8E-05,7.8E-05,5.8E-05,0.000219,0.000176,0.00013,7E-05,0.000259,4.8E-05,0.000357,0.000106,0.000106,9.7E-05,4.8E-05,6.3E-05,0.031587,0.00023,7.4E-05,0.000123,1.7E-05,0.000309,0.169737,0.000131,5.7E-05,4.7E-05,7.2E-05,0.000106,0.136399,6.3E-05,0.00011,6.6E-05,4.9E-05,0.000137,0.051058,5.6E-05,8.7E-05,8.3E-05,0.000104,0.066639,0.000191,5.7E-05,3.5E-05,4.4E-05,6E-05,0.015806,7E-05,5.8E-05,9.8E-05,8.1E-05,0.000152,0.000149,0.000317,0.000105,0.000126,0.000105,0.000122,5.4E-05,9.1E-05,9E-05,0.000625,0.000119,f3df6pcg,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3df6pcg,"Design, Synthesis and Theoretical Investigation of Small Molecules for Utility in Organic Semiconducting Devices",2014,"van der Poll, Thomas S.","University of California, Santa Barbara. Chemistry",Guillermo C. Bazan,English,0.000371491099241579,0.000301838427018902
187,433,30,7,0.274873,8E-05,0.00895,9.1E-05,0.000104,6.2E-05,6.6E-05,0.000107,0.005517,7.8E-05,0.000176,6.7E-05,6.7E-05,5E-05,0.00019,0.039764,0.013316,6E-05,0.000224,4.2E-05,0.013512,9.2E-05,9.2E-05,8.4E-05,4.2E-05,5.4E-05,0.062488,0.009001,6.4E-05,0.000107,1.5E-05,0.000267,0.001335,0.000113,0.400569,4E-05,6.3E-05,9.2E-05,0.144196,5.4E-05,0.004497,5.7E-05,4.2E-05,0.000118,7.9E-05,4.8E-05,7.5E-05,7.1E-05,9E-05,0.000329,0.281849,4.9E-05,3E-05,3.8E-05,5.2E-05,0.000446,6E-05,5E-05,8.4E-05,7E-05,0.000132,0.000129,0.000274,9E-05,0.000108,9E-05,0.000105,4.6E-05,0.008881,7.8E-05,0.00054,0.000103,f3gf0rn7,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3gf0rn7,Stepping Up the Cybersecurity Game: Protecting Online Services from Malicious Activity,2014,"Stringhini, Gianluca","University of California, Santa Barbara. Computer Science",Christopher Kruegel,English,0.000272238040104776,5.54009001913489E-05
188,434,9,30,0.396869,0.000186,0.000345,0.000212,0.000243,0.000144,0.000155,0.00025,0.002607,0.000182,0.000411,0.000157,0.000157,0.000117,0.154756,0.000355,0.000263,0.00014,0.000523,9.8E-05,0.000721,0.000214,0.000214,0.000196,9.8E-05,0.555653,0.002032,0.000464,0.00015,0.000249,3.5E-05,0.000624,0.064845,0.000265,0.000116,9.4E-05,0.000146,0.000214,0.059278,0.000126,0.000223,0.000133,9.9E-05,0.000276,0.000184,0.000113,0.000176,0.000167,0.00021,0.00077,0.000386,0.000115,7E-05,8.9E-05,0.000121,0.001042,0.000141,0.000118,0.000197,0.000163,0.000308,0.000301,0.00064,0.000211,0.000254,0.000211,0.000246,0.000109,0.000184,0.000181,0.145287,0.00024,f3p8492w,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3p8492w,Sometimes I'm Lesbian: Young Women's High School Coming Out Experiences in the Post-Gay Era,2014,"Jungleib, Lillian Taylor","University of California, Santa Barbara. Sociology",Verta Taylor,English,8.29136023977571E-05,0.000233676059891541
189,438,31,41,0.0450227,0.000147,0.000272,0.000167,0.000192,0.000114,0.000122,0.592706,0.002057,0.000144,0.000324,0.000124,0.000124,9.3E-05,0.000349,0.00028,0.000207,0.000111,0.000413,7.7E-05,0.000569,0.000169,0.000169,0.000154,7.7E-05,0.0001,0.082769,0.000366,0.000118,0.000197,2.8E-05,0.000492,0.07551,0.000209,9.1E-05,7.4E-05,0.000115,0.000169,0.152284,0.0001,0.000176,0.000105,7.8E-05,0.000218,0.000145,8.9E-05,0.000139,0.000132,0.000166,0.000607,0.000305,9.1E-05,5.5E-05,7.1E-05,0.073144,0.008938,0.000111,9.3E-05,0.000156,0.000128,0.000243,0.000238,0.000505,0.000167,0.0002,0.000167,0.000194,8.6E-05,0.000145,0.000143,0.000995,0.00019,f35x2726,https://www.alexandria.ucsb.edu/lib/ark:/48907/f35x2726,Homogeneous Gold Catalysis: Ligand Design and Reactions of Alkynes,2014,"Wang, Yanzhao","University of California, Santa Barbara. Chemistry",Liming Zhang,English,0.000280923850606793,0.00031786437170637
190,439,4,26,0.11421,7.8E-05,0.000144,8.8E-05,0.000101,6E-05,6.5E-05,0.000104,0.078272,7.6E-05,0.000171,0.27879,6.5E-05,4.9E-05,0.141691,0.013012,0.000109,5.9E-05,0.098844,4.1E-05,0.0003,8.9E-05,8.9E-05,8.2E-05,4.1E-05,5.3E-05,0.086609,0.000194,6.3E-05,0.000104,1.5E-05,0.00026,0.022741,0.000111,4.8E-05,3.9E-05,6.1E-05,8.9E-05,0.22196,5.3E-05,9.3E-05,5.5E-05,4.1E-05,0.000115,7.7E-05,4.7E-05,7.3E-05,7E-05,8.8E-05,0.000321,0.000161,4.8E-05,2.9E-05,3.7E-05,5E-05,0.043315,5.9E-05,4.9E-05,8.2E-05,6.8E-05,0.008704,0.000126,0.000267,8.8E-05,0.000106,8.8E-05,0.000102,4.5E-05,7.7E-05,7.6E-05,0.000526,0.0001,f3r20zhm,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3r20zhm,Embedding Threshold Concepts in a Large Lecture Course: An Examination of Uptake of Disciplinary Actions,2014,"McGowan, Susannah Thacker","University of California, Santa Barbara. Education",Linda Adler-Kassner,English,3.83212317136075E-05,0.000203316596561599
191,440,28,22,0.200547,0.000175,0.000325,0.000199,0.000229,0.000136,0.000146,0.000236,0.060592,0.000172,0.068213,0.000148,0.000147,0.00011,0.000417,0.000335,0.000247,0.000132,0.000493,9.2E-05,0.000679,0.000202,0.000202,0.000184,9.2E-05,0.000119,0.030982,0.000437,0.000141,0.000235,3.3E-05,0.000588,0.157969,0.00025,0.000109,8.9E-05,0.000138,0.000202,0.298068,0.000119,0.00021,0.000125,9.3E-05,0.17467,0.000173,0.000106,0.000166,0.000157,0.000198,0.058862,0.000364,0.000108,6.6E-05,8.4E-05,0.000114,0.078497,0.000132,0.000111,0.000186,0.000153,0.00029,0.000284,0.000603,0.000199,0.048686,0.000199,0.000231,0.000102,0.000173,0.000171,0.010877,0.000226,f3hd7ss2,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3hd7ss2,Light Scattering Behavior for Anisotropic Colloidal Particles,2014,"Rotstein, Roy","University of California, Santa Barbara. Chemistry","Daniel E. Morse, Martin Moskovits",English,0.000251940606254474,0.000172672367268084
192,441,13,8,0.131234,9.6E-05,0.05303,0.000109,0.000125,7.4E-05,8E-05,0.000129,0.001339,9.4E-05,0.000211,0.005366,8E-05,6E-05,0.000228,0.037179,0.000135,7.2E-05,0.010839,0.348878,0.00037,0.00011,0.00011,0.000101,5E-05,6.5E-05,0.001044,0.000239,7.7E-05,0.005413,1.8E-05,0.00032,0.012173,0.000136,5.9E-05,4.8E-05,7.5E-05,0.00011,0.194298,6.5E-05,0.000114,6.8E-05,5.1E-05,0.000142,9.5E-05,5.8E-05,9E-05,0.005371,0.037105,0.000395,0.000198,5.9E-05,3.6E-05,4.6E-05,6.2E-05,0.164379,7.2E-05,6E-05,0.000101,8.4E-05,0.000158,0.021296,0.000329,0.000109,0.00013,0.000109,0.000126,5.6E-05,9.5E-05,9.3E-05,0.095783,0.000123,f3x06566,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3x06566,"Fear of Miscegenation in the Antebellum Riots of New York 1834, Boston 1835, and Philadelphia 1838",2014,"Rivera, Alicia J.","University of California, Santa Barbara. History",John Majewski,English,0.000116577069361063,6.11258634919373E-05
193,443,8,5,0.266241,0.000104,0.040608,0.000119,0.000136,8.1E-05,8.7E-05,0.00014,0.064972,0.000102,0.000231,8.8E-05,8.8E-05,6.6E-05,0.000249,0.000199,0.000147,7.9E-05,0.138858,5.5E-05,0.017725,0.00012,0.00012,0.00011,5.5E-05,7.1E-05,0.001141,0.000261,8.4E-05,0.00014,2E-05,0.00035,0.007524,0.000149,6.5E-05,5.3E-05,8.2E-05,0.00012,0.252661,7.1E-05,0.000125,7.5E-05,5.6E-05,0.000155,0.000103,6.3E-05,9.9E-05,9.4E-05,0.0694,0.000432,0.000217,6.5E-05,3.9E-05,0.028918,6.8E-05,0.012132,7.9E-05,6.6E-05,0.000111,9.1E-05,0.000173,0.000169,0.000359,0.000119,0.000142,0.000119,0.000138,0.005834,0.000103,0.352286,0.000708,0.000135,f3b27sfk,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3b27sfk,The Self-efficacy of Businesswomen: Understanding Generational Cohorts of Saudi Arabian Advocates,2014,"Alfrayan, Reem Ahmad","University of California, Santa Barbara. Education",John Yun,English,7.36914976953231E-05,3.88862720172391E-05
194,445,41,12,0.142087,0.000186,0.000345,0.000212,0.000243,0.000144,0.000155,0.00025,0.03347,0.000182,0.010699,0.000157,0.000157,0.000117,0.000443,0.000355,0.000263,0.00014,0.000523,9.8E-05,0.000721,0.000214,0.000214,0.000196,9.8E-05,0.000126,0.17692,0.000464,0.00015,0.000249,3.5E-05,0.000624,0.08542,0.000265,0.000116,9.4E-05,0.000146,0.000214,0.223879,0.000126,0.000223,0.000133,9.9E-05,0.000276,0.000184,0.000113,0.000176,0.000167,0.00021,0.00077,0.010674,0.000115,7E-05,8.9E-05,0.000121,0.021617,0.000141,0.000118,0.000197,0.000163,0.000308,0.000301,0.00064,0.422,0.000254,0.000211,0.000246,0.000109,0.000184,0.000181,0.001261,0.00024,f3st7mzv,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3st7mzv,Improving Non-Volatile Memory Lifetime through Temporal Wear-Limiting,2014,"Neely, Brian Kenneth","University of California, Santa Barbara. Electrical and Computer Engineering",Frederic Chong,English,0.000365938612448804,9.28094435915363E-05
195,446,32,13,0.275715,7.8E-05,0.000144,8.8E-05,0.000101,6E-05,6.5E-05,0.000104,0.005375,7.6E-05,0.000171,6.6E-05,6.5E-05,4.9E-05,0.000185,0.000148,0.000109,5.9E-05,0.000218,4.1E-05,0.0003,8.9E-05,0.257374,8.2E-05,4.1E-05,5.3E-05,0.288148,0.000194,6.3E-05,0.000104,1.5E-05,0.00026,0.031317,0.000111,4.8E-05,3.9E-05,0.030077,8.9E-05,0.2434,5.3E-05,9.3E-05,5.5E-05,4.1E-05,0.004403,0.025805,4.7E-05,7.3E-05,7E-05,8.8E-05,0.013185,0.000161,4.8E-05,2.9E-05,3.7E-05,5E-05,0.000434,5.9E-05,4.9E-05,8.2E-05,6.8E-05,0.000128,0.01299,0.000267,8.8E-05,0.000106,8.8E-05,0.000102,4.5E-05,7.7E-05,7.6E-05,0.000526,0.081574,f3bp00zb,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3bp00zb,"Terahertz Systems Engineering: Detectors, Sources, Propagation, Phenomenology, Design and Analysis",2014,"Suen, Jonathan Ying-Yan","University of California, Santa Barbara. Electrical and Computer Engineering","Christopher J. Palmstrom, Philip M. Lubin",English,0.000291207763978429,0.000102952321449921
196,448,25,14,0.22417,0.000115,0.000213,0.000131,0.00015,8.9E-05,9.6E-05,0.000155,0.001612,0.000113,0.000254,9.7E-05,9.7E-05,7.3E-05,0.000274,0.00022,0.000162,8.7E-05,0.000323,6E-05,0.000446,0.000132,0.000133,0.000121,6E-05,7.8E-05,0.039423,0.000287,9.3E-05,0.000154,2.2E-05,0.000386,0.154596,0.038331,7.1E-05,5.8E-05,9E-05,0.000132,0.24657,0.311773,0.000138,8.2E-05,6.1E-05,0.00017,0.000114,7E-05,0.000109,0.000103,0.00013,0.006837,0.000239,7.1E-05,4.3E-05,5.5E-05,7.5E-05,0.000644,8.7E-05,7.3E-05,0.000122,0.000101,0.00019,0.000186,0.191229,0.000131,0.000157,0.000131,0.000152,6.7E-05,0.000114,0.000112,0.00078,0.000149,f3nc5zbf,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3nc5zbf,Output Regulation for Linear Hybrid Systems with Periodic Jump Times,2014,"Cox, Nicholas","University of California, Santa Barbara. Electrical and Computer Engineering",Andrew R. Teel,English,0.000224480006349163,0.000110687714356996
197,453,0,41,0.177908,0.000166,0.000307,0.000188,0.000216,0.000128,0.000138,0.000223,0.157991,0.073419,0.000366,0.00014,0.000139,0.000104,0.000394,0.000316,0.000234,0.000125,0.000465,8.7E-05,0.000641,0.000191,0.000191,0.000174,8.7E-05,0.000112,0.010966,0.000413,0.000133,0.000222,3.1E-05,0.000555,0.002777,0.000236,0.000103,8.4E-05,0.009287,0.000191,0.061921,0.000112,0.000198,0.000118,8.8E-05,0.000245,0.000164,0.000101,0.000156,0.000149,0.000187,0.000685,0.000344,0.000102,6.3E-05,8E-05,0.000108,0.000927,0.000125,0.000105,0.000176,0.668612,0.000274,0.000268,0.00057,0.000188,0.000226,0.000188,0.000219,9.7E-05,0.000164,0.000161,0.001123,0.000214,f3s180nt,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3s180nt,Targeting Prosodic Atypicalities Using Self-Management for Individuals with Autism Spectrum Disorders,2014,"Koegel, Brittany Lynn","University of California, Santa Barbara. Education",George H. Singer,English,6.01332250365034E-06,0.000320777608158465
198,456,23,39,0.279541,0.000143,0.000265,0.000163,0.023958,0.000111,0.00012,0.000193,0.382342,0.00014,0.000317,0.000121,0.000121,9E-05,0.000341,0.000274,0.000202,0.000108,0.000403,7.5E-05,0.000555,0.000165,0.000165,0.396332,7.5E-05,9.7E-05,0.001565,0.000358,0.000115,0.000192,2.7E-05,0.00048,0.057868,0.000204,8.9E-05,7.3E-05,0.000113,0.063554,0.045657,9.7E-05,0.000172,0.01595,7.6E-05,0.000212,0.000142,8.7E-05,0.000135,0.000129,0.000162,0.000593,0.000297,8.9E-05,5.4E-05,6.9E-05,9.3E-05,0.000802,0.000108,9.1E-05,0.000152,0.000125,0.000237,0.000232,0.000493,0.000163,0.000195,0.000163,0.000189,8.4E-05,0.000142,0.00014,0.000971,0.000185,f3xp732v,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3xp732v,Association between a dopamine transporter polymorphism and fractional anisotropy in the substantia nigra: a diffusion tensor imaging study,2014,"Johnson, Arianne","University of California, Santa Barbara. Psychology",Scott Grafton,English,0.000208847523759226,0.000304848681571613
199,464,1,0,0.163556,9.9E-05,0.000184,0.000113,0.00013,7.7E-05,8.3E-05,0.000133,0.039809,9.7E-05,0.000219,8.4E-05,8.4E-05,6.3E-05,0.099026,0.00019,0.00014,7.5E-05,0.000279,5.2E-05,0.005873,0.000114,0.000114,0.000104,5.2E-05,0.071416,0.028526,0.000248,8E-05,0.000133,1.9E-05,0.000333,0.001664,0.000141,6.2E-05,5E-05,7.8E-05,0.000114,0.135903,6.7E-05,0.000119,7.1E-05,5.3E-05,0.000147,9.8E-05,6E-05,0.203162,8.9E-05,0.000112,0.000411,0.000206,6.1E-05,3.8E-05,4.8E-05,6.4E-05,0.000556,7.5E-05,6.3E-05,0.011082,0.005575,0.000164,0.000161,0.000341,0.000113,0.005624,0.000113,0.000131,5.8E-05,9.8E-05,9.7E-05,0.384855,0.000128,f3707zkt,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3707zkt,Am I Queer Enough? (White) Queer Identity Verification and The Costs of Inclusion,2014,"Miller, Shaeleya Danielle","University of California, Santa Barbara. Sociology","Leila J. Rupp, Verta Taylor",English,1.13591967639433E-05,-1.14984367010673E-07
200,465,39,33,0.0611289,5.7E-05,0.000105,6.4E-05,7.4E-05,4.4E-05,4.7E-05,7.6E-05,0.000794,5.6E-05,0.069046,4.8E-05,0.062703,3.6E-05,0.000135,0.000108,8E-05,0.028238,0.000159,3E-05,0.000219,6.5E-05,6.5E-05,6E-05,3E-05,3.8E-05,0.044478,0.000141,4.6E-05,7.6E-05,1.1E-05,0.00019,0.179519,8.1E-05,3.5E-05,2.9E-05,4.5E-05,6.5E-05,0.152761,3.8E-05,6.8E-05,4E-05,3E-05,8.4E-05,0.45431,3.4E-05,5.4E-05,5.1E-05,6.4E-05,0.003367,0.000118,3.5E-05,2.1E-05,2.7E-05,3.7E-05,0.000317,4.3E-05,3.6E-05,6E-05,5E-05,9.4E-05,9.2E-05,0.000195,6.4E-05,7.7E-05,6.4E-05,7.5E-05,3.3E-05,5.6E-05,5.5E-05,0.000384,7.3E-05,f3cz3593,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3cz3593,First-principles investigations of III-nitride bulk and surface properties,2014,"Dreyer, Cyrus Eduard","University of California, Santa Barbara. Materials",Chris G. Van de Walle,English,0.000353926340461634,0.000257401464876958
